,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAKMYIURA,02/06/2018 12:00:00 AM,ANAR INDIAN RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000709,1807 N CAHUENGA BLVD,LOS ANGELES,FA0006202,CA,90028,OW0029353,RAAD HOLDINGS LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,ANAR INDIAN RESTAURANT,ACTIVE,PR0040462,"['Indian', 'Vegetarian', 'Halal']",False,34.1041311654132,-118.330346146374,$$,4.0,467,1kqAUNH6rDOMc7KQfrnqjA
1,DAAQLOSAI,02/06/2018 12:00:00 AM,JAY'S BAR,95,A,1,ROUTINE INSPECTION,EE0000904,4321 W SUNSET BLVD,LOS ANGELES,FA0064250,CA,90029,OW0017486,JBEER 74 INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,JAY'S BAR,ACTIVE,PR0007518,"['Bars', 'Gastropubs', 'American (New)']",False,34.0952586,-118.283366,$$,4.0,280,8lZCdZ7-z3DlRWxmK8sUpA
2,DAIK4GYM5,02/06/2018 12:00:00 AM,HOLIDAY INN WLA,98,A,1,ROUTINE INSPECTION,EE0000684,11250 SANTA MONICA BLVD,LOS ANGELES,FA0149788,CA,90025-3156,OW0115403,WESTWOOD HOTEL LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,HOLIDAY INN WLA - THE ATRIUM,ACTIVE,PR0199948,"['Hotels', 'Venues & Event Spaces']",False,34.046631,-118.4473644,$$,3.0,47,2_uy6PUgtVeXw9GAf7Veyg
3,DADI5ZM66,02/06/2018 12:00:00 AM,SHAHERZARD RESTAURANT,96,A,1,ROUTINE INSPECTION,EE0000924,1422 WESTWOOD BLVD,LOS ANGELES,FA0248148,CA,90024,OW0242631,SHAHERZAD RESTAURANT INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAHERZARD RESTAURANT,ACTIVE,PR0196794,"['Middle Eastern', 'Persian/Iranian']",False,34.0549969,-118.4413159,$$,4.0,442,_STHImG2oki4l__TW-LqQw
4,DAFZCAF50,02/06/2018 12:00:00 AM,TONY'S BAR,92,A,1,ROUTINE INSPECTION,EE0000871,4310 W PICO BLVD,LOS ANGELES,FA0052819,CA,90019,OW0036178,TONY'S BAR INC,RESTAURANT (0-30) SEATS LOW RISK,1630,TONY'S BAR,ACTIVE,PR0029798,['Nightlife'],False,34.0478505,-118.3284978,blank,5.0,1,gbZkj3uJcEYpcV6TU_QvzQ
5,DALHLQO5M,02/06/2018 12:00:00 AM,YABU RESTAURANT,97,A,1,ROUTINE INSPECTION,EE0000629,11820 W PICO BLVD,LOS ANGELES,FA0055637,CA,90064,OW0016887,"IKUNO, KIYUTAKA",RESTAURANT (31-60) SEATS HIGH RISK,1635,YABU RESTAURANT,ACTIVE,PR0029575,"['Sushi Bars', 'Japanese']",False,34.03026,-118.44774,$$,4.0,394,7IviUAjyUZIEpZT0m6R5cQ
6,DAJADYLX1,02/06/2018 12:00:00 AM,CHINA BEAUTY,90,A,1,ROUTINE INSPECTION,EE0000923,5465 N FIGUEROA ST,LOS ANGELES,FA0008745,CA,90042,OW0012998,"GAUV, MUOY",RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINA BEAUTY,ACTIVE,PR0017574,"['Chinese', 'Fast Food']",False,34.1080809384584,-118.195977285504,$,3.5,22,D0xVuD3OmiwcZyGxXXhPWA
7,DATFLUSCS,02/06/2018 12:00:00 AM,AMADINE PATISSERIE CAFE KT,96,A,1,ROUTINE INSPECTION,EE0000884,3121 W OLYMPIC BLVD,LOS ANGELES,FA0251105,CA,90006,OW0245091,APCKT CORP,RESTAURANT (0-30) SEATS HIGH RISK,1632,AMADINE PATISSERIE CAFE KT,ACTIVE,PR0200215,"['Bakeries', 'Breakfast & Brunch', 'American (New)']",False,34.0527449,-118.3038449,$$,4.0,156,4uSZ0G-8hteI26CBYWnwgg
8,DA5CYJMEX,02/06/2018 12:00:00 AM,ALL'ANGOLO PIZZA & PASTA,93,A,1,ROUTINE INSPECTION,EE0000869,4050 W 3RD ST,LOS ANGELES,FA0005998,CA,90020,OW0008782,"CORMIER, DONALD L. JR.",RESTAURANT (0-30) SEATS HIGH RISK,1632,ALL'ANGOLO PIZZA & PASTA,ACTIVE,PR0035114,"['Pizza', 'Italian']",False,34.068913,-118.301872,$$,4.0,650,E2yCSDPDy3QSmtC7-gHinQ
9,DAIVJTAYL,02/06/2018 12:00:00 AM,KING TACO #108,96,A,1,ROUTINE INSPECTION,EE0000740,2904 N BROADWAY,LOS ANGELES,FA0064851,CA,90031,OW0019629,"KING TACO RESTAURANT, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,KING TACO INC,ACTIVE,PR0024671,['Mexican'],False,34.0734367799655,-118.211486067367,$,3.0,264,8wiejOhpTr-zZAwXV1zCkg
