,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAUGUSKNS,01/08/2016 12:00:00 AM,EL PARIAN,90,A,1,ROUTINE INSPECTION,EE0000721,1528 W PICO BLVD,LOS ANGELES,FA0021067,CA,90015,OW0023127,"MANCILLA, MARIA",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL PARIAN,ACTIVE,PR0006475,['Mexican'],False,34.0438703,-118.2755403,$,4.0,188,p0WbwwHC6DyhAx0ELJQXRw
1,DAC8CBG08,01/08/2016 12:00:00 AM,SUBWAY #24810,95,A,1,ROUTINE INSPECTION,EE0000144,12464 VENICE BLVD,LOS ANGELES,FA0049254,CA,90066,OW0011648,FARZAN COMPANY SECOND LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY #24810,ACTIVE,PR0005239,"['Fast Food', 'Sandwiches']",True,34.0028908,-118.4346969,$,3.0,12,iIP1LxOP7KONo3-9gF7XKA
2,DA84KCLMF,01/08/2016 12:00:00 AM,PLANCHA,92,A,1,ROUTINE INSPECTION,EE0000468,8250 W 3RD ST STE 108,LOS ANGELES,FA0044276,CA,90048,OW0038609,WEST COAST TACOS LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,PLANCHA,ACTIVE,PR0023371,['Mexican'],False,34.072365,-118.369731,$,4.0,629,mLQ8UtRY-NvMG-PR3jm-Yg
3,DA2DAFROT,01/08/2016 12:00:00 AM,SIMPLE THINGS,90,A,1,ROUTINE INSPECTION,EE0000468,8310 W 3RD ST,LOS ANGELES,FA0070522,CA,90048,OW0032959,SIMPLE THINGS 3RD STREET LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,SIMPLE THINGS,ACTIVE,PR0045889,"['Desserts', 'Sandwiches', 'Cafes']",False,34.07245,-118.3705,$$,4.0,791,o2txtyq11-s0DZKSLbstHQ
4,DAWEDBAJC,01/08/2016 12:00:00 AM,YUMMIE SANDWICH & FOOD TO GO,86,B,1,ROUTINE INSPECTION,EE0000360,818 N BROADWAY STE 106B,LOS ANGELES,FA0155877,CA,90012-2341,OW0121147,"TA,JENNIE QUYEN TU",RESTAURANT (0-30) SEATS MODERATE RISK,1631,YUMMIE SANDWICH & FOOD TO GO,ACTIVE,PR0143315,['Sandwiches'],False,34.0628471374512,-118.23754119873,$,4.0,10,g5RWM8W6aidcDhnghUq50w
5,DAB4AX5BA,01/08/2016 12:00:00 AM,JOHNNIE'S MARKET,94,A,1,ROUTINE INSPECTION,EE0000420,2017 N EASTERN AVE,LOS ANGELES,FA0019067,CA,90032,OW0015575,"HIM, HEAP KIM",RESTAURANT (0-30) SEATS HIGH RISK,1632,JOHNNIE'S MARKET (TAKE OUT),ACTIVE,PR0024001,"['Grocery', 'Convenience Stores']",False,34.0664299,-118.18065,$,4.5,19,pUwwjTdW3oYP8Ijax0PHCA
6,DABLSJGYM,01/08/2016 12:00:00 AM,BONAVENTURE BREWING CO REST,98,A,1,ROUTINE INSPECTION,EE0000721,404 S FIGUEROA ST STE 418A,LOS ANGELES,FA0010408,CA,90017,OW0004998,BONAVENTURE BREWING CO REST,RESTAURANT (151 + ) SEATS HIGH RISK,1641,BONAVENTURE BREWING CO REST,ACTIVE,PR0048125,"['Breweries', 'Venues & Event Spaces', 'Wedding Planning']",False,34.052562713623,-118.256011962891,$$,3.0,369,UGFFoSwH6lyLZLqlQqAwPA
7,DAJ2RFEN2,01/08/2016 12:00:00 AM,DECARLO PIZZA,94,A,1,ROUTINE INSPECTION,EE0000144,12460 VENICE BLVD,LOS ANGELES,FA0053886,CA,90066,OW0101406,"DECARLO PIZZA, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,DECARLO PIZZA,ACTIVE,PR0122219,"['Pizza', 'Italian']",False,34.0029044,-118.4346698,$$,3.5,37,OAwN2gD7Wu6EW4QTex4QdA
8,DAOGM0MYM,01/08/2016 12:00:00 AM,MARIE CALLENDER'S RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000144,11324 NATIONAL BLVD,LOS ANGELES,FA0066403,CA,90064,OW0008964,COX-KALMBACH ENTERPRISES INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MARIE CALLENDER RESTAURANT,ACTIVE,PR0004524,"['Bakeries', 'American (Traditional)', 'Venues & Event Spaces']",False,34.02553,-118.43219,$$,3.5,193,ddQ-nWc2NRdqGO-1qEOHug
9,DAOGM0MYM,01/08/2016 12:00:00 AM,MARIE CALLENDER'S RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000144,11324 NATIONAL BLVD,LOS ANGELES,FA0066403,CA,90064,OW0008964,COX-KALMBACH ENTERPRISES INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MARIE CALLENDER RESTAURANT,ACTIVE,PR0004524,"['Bakeries', 'American (Traditional)', 'Venues & Event Spaces']",False,34.02553,-118.43219,$$,3.5,193,ddQ-nWc2NRdqGO-1qEOHug
10,DA7VUVI3P,09/30/2015 12:00:00 AM,MARIE CALLENDER'S RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000144,11324 NATIONAL BLVD,LOS ANGELES,FA0066403,CA,90064,OW0008964,COX-KALMBACH ENTERPRISES INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MARIE CALLENDER RESTAURANT,ACTIVE,PR0004524,"['Bakeries', 'American (Traditional)', 'Venues & Event Spaces']",False,34.02553,-118.43219,$$,3.5,193,ddQ-nWc2NRdqGO-1qEOHug
