serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DA0MEK8SI,03/29/2016 12:00:00 AM,HILLCREST COUNTRY CLUB,99,A,1,ROUTINE INSPECTION,EE0000117,10000 W PICO BLVD,LOS ANGELES,FA0001714,CA,90064,OW0015531,HILLCREST COUNTRY CLUB INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,HILLCREST COUNTRY CLUB EMPLOYEE DINING,ACTIVE,PR0127629
DALJ6PMWW,03/29/2016 12:00:00 AM,HOME RESTAURANT,97,A,1,ROUTINE INSPECTION,EE0000846,1760 N HILLHURST AVE,LOS ANGELES,FA0017187,CA,90027,OW0032256,"SEROBIAN, ARAM",RESTAURANT (31-60) SEATS HIGH RISK,1635,HOME RESTAURANT,ACTIVE,PR0041701
DANYXP72N,03/29/2016 12:00:00 AM,H COFFEE HOUSE,98,A,1,ROUTINE INSPECTION,EE0000846,1750 N HILLHURST AVE,LOS ANGELES,FA0158603,CA,90027,OW0123661,AANR INC,RESTAURANT (31-60) SEATS LOW RISK,1633,H COFFEE HOUSE,ACTIVE,PR0146679
DALBT8FNY,03/29/2016 12:00:00 AM,THE BEL-AIR,95,A,1,ROUTINE INSPECTION,EE0000684,662 N SEPULVEDA BLVD,LOS ANGELES,FA0058142,CA,90049,OW0036750,TWELFTH OF MAY LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,THE BEL-AIR SHACK / MAIN KITCHEN,ACTIVE,PR0123192
DAUGZ0X0B,03/29/2016 12:00:00 AM,DESERT ROSE,96,A,1,ROUTINE INSPECTION,EE0000846,1700 HILLHURST AVE,LOS ANGELES,FA0060816,CA,90027,OW0009808,"DESERT ROSE BAR & LOUNGE, IN",RESTAURANT (61-150) SEATS HIGH RISK,1638,DESERT ROSE,ACTIVE,PR0007416
DASHHFYZ4,03/28/2016 12:00:00 AM,HANSOL LUNCHBOX,91,A,1,ROUTINE INSPECTION,EE0000723,2520 W 8TH ST STE 101,LOS ANGELES,FA0027553,CA,90057,OW0014787,"HANSOL LUNCHBOX, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,HANSOL LUNCHBOX,ACTIVE,PR0020614
DA2VEF52O,03/28/2016 12:00:00 AM,CHINA BOWL EXPRESS,92,A,1,ROUTINE INSPECTION,EE0000958,11315 S FIGUEROA ST STE 103,LOS ANGELES,FA0008751,CA,90061,OW0013090,THEN SIU FEN,RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINA BOWL EXPRESS,INACTIVE,PR0012308
DADSFZLLU,03/28/2016 12:00:00 AM,BLU20,98,A,1,ROUTINE INSPECTION,EE0000122,600 WORLD WAY,LOS ANGELES,FA0221693,CA,90045,OW0016382,HOST INTERNATIONAL INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,BLU20,ACTIVE,PR0176697
DAOUEDPCR,03/28/2016 12:00:00 AM,WAKO DONKASU INC,90,A,1,ROUTINE INSPECTION,EE0000699,3377 WILSHIRE BLVD # 112,LOS ANGELES,FA0175001,CA,90010,OW0181608,WAKO DONKASU INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,WAKO DONKASU INC,ACTIVE,PR0168090
DAJ81TAWF,03/28/2016 12:00:00 AM,PINK PEPPER,80,B,1,ROUTINE INSPECTION,EE0000835,1638 N LA BREA AVE,LOS ANGELES,FA0044091,CA,90028,OW0028602,PINK PEPPER INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,PINK PEPPER,ACTIVE,PR0015555
DA0LSSBQH,03/28/2016 12:00:00 AM,ALAMEDA STRIP,90,A,1,ROUTINE INSPECTION,EE0000707,4209 S ALAMEDA ST,LOS ANGELES,FA0167114,CA,90058,OW0130189,"ALAMEDA BUS. VENTURES, INC",RESTAURANT (61-150) SEATS MODERATE RISK,1637,ALAMEDA STRIP,ACTIVE,PR0157457
DA9452IKB,03/28/2016 12:00:00 AM,CARNIVAL DELIGHT,97,A,1,ROUTINE INSPECTION,EE0000997,3557 E 3RD ST,LOS ANGELES,FA0163296,CA,90063-2919,OW0126934,MARIA ESTHELA CORREA,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CARNIVAL DELIGHT,ACTIVE,PR0151482
DAX3OZJKR,03/28/2016 12:00:00 AM,MASA OF ECHO PARK BAKERY,95,A,1,ROUTINE INSPECTION,EE0000923,1800 W SUNSET BLVD,LOS ANGELES,FA0024015,CA,90026,OW0036160,TOMIRO LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,MASA OF ECHO PARK BAKERY,ACTIVE,PR0028280
DAIDIUFHT,03/28/2016 12:00:00 AM,JEJU ISLAND,90,A,1,ROUTINE INSPECTION,EE0000723,4100 W PICO BLVD STE #10B,LOS ANGELES,FA0018742,CA,90019,OW0034929,TAMRA ISLAND CORP,RESTAURANT (31-60) SEATS HIGH RISK,1635,JEJU ISLAND,ACTIVE,PR0027638
DAARWRPVV,03/28/2016 12:00:00 AM,BRASIL KISS COFFEE BAR,98,A,1,ROUTINE INSPECTION,EE0000117,6350 SANTA MONICA BLVD,LOS ANGELES,FA0142503,CA,90038-1620,OW0105693,"DOS SANTOS, LUCIANO A.",RESTAURANT (0-30) SEATS HIGH RISK,1632,BRASIL KISS COFFEE BAR,ACTIVE,PR0129291
DAB3XRTQA,03/28/2016 12:00:00 AM,JACK IN THE BOX #151,96,A,1,ROUTINE INSPECTION,EE0001049,5075 WHITTIER BLVD,LOS ANGELES,FA0064133,CA,90022,OW0035140,"TBS FOODS, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,JACK IN THE BOX #151,ACTIVE,PR0027450
DAETZ7ZAI,03/28/2016 12:00:00 AM,FOUR SEASONS SNACK BAR,86,B,1,ROUTINE INSPECTION,EE0000884,2736 W PICO BLVD,LOS ANGELES,FA0003226,CA,90006,OW0028222,JOSEPH PEREZ UMANA,RESTAURANT (0-30) SEATS MODERATE RISK,1631,4 SEASONS SNACK SHOP,ACTIVE,PR0017352
DASM3SLUI,03/28/2016 12:00:00 AM,TAQUERIA LOS FELIX,92,A,1,ROUTINE INSPECTION,EE0000723,2300 VENICE BLVD,LOS ANGELES,FA0051172,CA,90019,OW0030605,"ROJAS, SANTIAGO",RESTAURANT (31-60) SEATS HIGH RISK,1635,TAQUERIA LOS FELIX,INACTIVE,PR0043610
DAMCPJI0A,03/28/2016 12:00:00 AM,POMODORO,95,A,1,ROUTINE INSPECTION,EE0000684,1393 WESTWOOD BLVD,LOS ANGELES,FA0068865,CA,90024,OW0022438,"LUCCHINA, DAVIDE",RESTAURANT (31-60) SEATS HIGH RISK,1635,POMODORO,ACTIVE,PR0006251
DARI7WPR1,03/28/2016 12:00:00 AM,MONTE CARLO,95,A,1,ROUTINE INSPECTION,EE0000721,109 E 5TH ST,LOS ANGELES,FA0040106,CA,90013,OW0027076,OZUNA EDGAR,RESTAURANT (0-30) SEATS HIGH RISK,1632,MONTE CAKIO,ACTIVE,PR0003915
DAU4ERJTA,03/28/2016 12:00:00 AM,EREWHON NATURAL FOOD MARKET,90,A,1,ROUTINE INSPECTION,EE0000468,7660 BEVERLY BLVD,LOS ANGELES,FA0022008,CA,90036,OW0026331,NOWHERE PARTNERS CORP.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EREWHON MARKET JUICE KITCHEN,ACTIVE,PR0151916
DAVJU9ZO1,03/28/2016 12:00:00 AM,LA COCINA DEL SERENO,94,A,1,ROUTINE INSPECTION,EE0000740,4989 HUNTINGTON DR N,LOS ANGELES,FA0203821,CA,90032,OW0208938,DORY COCINA INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,LA COCINA DEL SERENO,ACTIVE,PR0176358
DAEFIYJKV,03/28/2016 12:00:00 AM,PORKY'S RESTAURANT MEXICAN FOOD,93,A,1,ROUTINE INSPECTION,EE0001049,4560 WHITTIER BLVD,LOS ANGELES,FA0180043,CA,90022-2430,OW0185506,VALENTIN CRUZ LOPEZ,RESTAURANT (61-150) SEATS HIGH RISK,1638,PORKY'S RESTAURANT MEXICAN FOOD,ACTIVE,PR0173752
DAW6U0OJS,03/28/2016 12:00:00 AM,HAN MI JUNG,90,A,1,ROUTINE INSPECTION,EE0000723,4100 W PICO BLVD STE #12,LOS ANGELES,FA0016265,CA,90019,OW0019129,KIM SHIN HO,RESTAURANT (31-60) SEATS HIGH RISK,1635,HAN MI JUNG,ACTIVE,PR0018810
DAVODO4PL,03/28/2016 12:00:00 AM,PHILIPPE,93,A,1,ROUTINE INSPECTION,EE0000360,1001 N ALAMEDA ST,LOS ANGELES,FA0002076,CA,90012,OW0028432,PHILIPPE THE ORIGINAL INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,PHILIPPE,ACTIVE,PR0034643
DAXP901LW,03/28/2016 12:00:00 AM,PATRA BURGERS,93,A,1,ROUTINE INSPECTION,EE0000923,1524 W SUNSET BLVD,LOS ANGELES,FA0043513,CA,90026,OW0034948,"TAN, SOMALY",RESTAURANT (31-60) SEATS HIGH RISK,1635,PATRA BURGERS,INACTIVE,PR0011053
DAXWQCCUV,03/28/2016 12:00:00 AM,LUPITA'S BAKERY,95,A,1,ROUTINE INSPECTION,EE0000884,2546 W PICO BLVD,LOS ANGELES,FA0023110,CA,90006,OW0004030,"BARRIGA, LEOBARDO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LUPITA'S BAKERY,ACTIVE,PR0035583
DA89FSDFW,03/28/2016 12:00:00 AM,KFC,97,A,1,ROUTINE INSPECTION,EE0000722,340 N WESTERN AVE,LOS ANGELES,FA0175186,CA,90004,OW0181769,GIA INVESTMENT GROUP LLC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,KFC,ACTIVE,PR0168303
DA0SZNAJP,03/28/2016 12:00:00 AM,BERLIN CURRYWURST,90,A,1,ROUTINE INSPECTION,EE0000904,3827 W SUNSET BLVD STE #C,LOS ANGELES,FA0009041,CA,90026,OW0004459,BERLIN CURRYWURST LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,BERLIN CURRYWURST,INACTIVE,PR0035423
DASDEMDNR,03/28/2016 12:00:00 AM,MASTER BURGER,90,A,1,ROUTINE INSPECTION,EE0000729,3420 W SLAUSON AVE STE A,LOS ANGELES,FA0024024,CA,90043,OW0003015,"ARGUETA, SANDRA",RESTAURANT (0-30) SEATS HIGH RISK,1632,MASTER BURGER,ACTIVE,PR0025609
DAIRGVXXP,03/28/2016 12:00:00 AM,MAYAS TACOS RESTAURANT,98,A,1,ROUTINE INSPECTION,EE0000923,1600 N ALVARADO ST,LOS ANGELES,FA0039350,CA,90026,OW0024950,"MOO, ALFONZO ALONZO",RESTAURANT (0-30) SEATS HIGH RISK,1632,MAYAS TACOS/MARKET,ACTIVE,PR0038006
DAKASIN0M,03/28/2016 12:00:00 AM,THE GREENROOM,98,A,1,ROUTINE INSPECTION,EE0000117,6250 HOLLYWOOD BLVD,LOS ANGELES,FA0142759,CA,90028-5325,OW0105931,HOLLYWOOD & VINE REST OP LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE GREENROOM,ACTIVE,PR0128788
DAIAH4N7I,03/28/2016 12:00:00 AM,BIG SAVER FOODS,95,A,1,ROUTINE INSPECTION,EE0000420,5168 S HUNTINGTON DR,LOS ANGELES,FA0171998,CA,90032,OW0036820,UKA'S BIG SAVER FOODS INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,BIG SAVER FOODS BAKERY,ACTIVE,PR0164492
DA20XI400,03/28/2016 12:00:00 AM,TIAGO COFFEE BAR & KITCHEN,94,A,1,ROUTINE INSPECTION,EE0000835,7080 HOLLYWOOD BLVD STE 106,LOS ANGELES,FA0179922,CA,90028,OW0185401,AGUSFUNK HOLLYWOOD INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,TIAGO COFFEE BAR & KITCHEN,ACTIVE,PR0173606
DAM7ZD0HL,03/28/2016 12:00:00 AM,NAVARRO'S RESTAURANT,96,A,1,ROUTINE INSPECTION,EE0000958,10925 1/2 S FIGUEROA ST,LOS ANGELES,FA0166019,CA,90061,OW0129235,RICARDO ORTEGA CORONADO,RESTAURANT (0-30) SEATS HIGH RISK,1632,NAVARRO'S RESTAURANT,ACTIVE,PR0156239
DAH00TJP0,03/28/2016 12:00:00 AM,GLOBAL CUISINE,98,A,1,ROUTINE INSPECTION,EE0000117,1041 N FORMOSA AVE,LOS ANGELES,FA0141600,CA,90046-6703,OW0104740,GLOBAL CUISINE BY GARY ARABI,RESTAURANT (61-150) SEATS HIGH RISK,1638,GLOBAL CUISINE,ACTIVE,PR0127722
DAMBWXCKV,03/28/2016 12:00:00 AM,J - N - J  BURGER SHACK,95,A,1,ROUTINE INSPECTION,EE0000176,5754 W ADAMS BLVD,LOS ANGELES,FA0064021,CA,90016,OW0025798,"NELSON, JEWELL",RESTAURANT (0-30) SEATS HIGH RISK,1632,J - N - J  BURGER SHACK,ACTIVE,PR0016933
DAJLJR9X0,03/28/2016 12:00:00 AM,PRIME TIME PUB,93,A,1,ROUTINE INSPECTION,EE0000912,5556 SANTA MONICA BLVD,LOS ANGELES,FA0029078,CA,90038,OW0007230,"CHAUAKESPONGESE, MANUS",RESTAURANT (31-60) SEATS LOW RISK,1633,PRIME TIME PUB,ACTIVE,PR0020626
DAQKYAX1H,03/28/2016 12:00:00 AM,WOO REE RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000723,2520 W 8TH ST 108,LOS ANGELES,FA0041352,CA,90057,OW0019232,"KIM, DONG HOAR",RESTAURANT (0-30) SEATS HIGH RISK,1632,WOO REE RESTAURANT,ACTIVE,PR0034442
DAENPLDIX,03/28/2016 12:00:00 AM,DONUT KING,90,A,1,ROUTINE INSPECTION,EE0000912,1119 N WESTERN ST #1,LOS ANGELES,FA0137076,CA,90010,OW0099870,KOY SOVAN,RESTAURANT (0-30) SEATS MODERATE RISK,1631,,INACTIVE,PR0121060
DAQF5ILPH,03/28/2016 12:00:00 AM,CORONADO MEXICAN RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000721,212 W 5TH ST,LOS ANGELES,FA0060291,CA,90013,OW0008814,CORONADO ROBERT,RESTAURANT (31-60) SEATS HIGH RISK,1635,CORONADO MEXICAN RESTAURANT,ACTIVE,PR0037146
DAHLFV4PZ,03/28/2016 12:00:00 AM,DURANGO RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000958,11227 S FIGUEROA ST,LOS ANGELES,FA0061187,CA,90061,OW0022845,"MAGDALENO, RAFAEL",RESTAURANT (0-30) SEATS HIGH RISK,1632,DURANGO RESTAURANT,ACTIVE,PR0008919
DAXRMFQ78,03/28/2016 12:00:00 AM,JIM'S BURGERS,92,A,1,ROUTINE INSPECTION,EE0000997,915 S SOTO ST,LOS ANGELES,FA0064351,CA,90023,OW0036554,TRIPOLIS BURGERS INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,JIM'S BURGERS,ACTIVE,PR0040397
DAEI2QRGY,03/28/2016 12:00:00 AM,TARGET #2775,95,A,1,ROUTINE INSPECTION,EE0000468,8480 BEVERLY BLVD,LOS ANGELES,FA0136684,CA,90048,OW0035036,TARGET CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,STARBUCKS - TARGET #2775,ACTIVE,PR0119900
DAPKNOC0O,03/28/2016 12:00:00 AM,LEMON POPPY KITHCEN,94,A,1,ROUTINE INSPECTION,EE0000923,3324 VERDUGO RD,LOS ANGELES,FA0065652,CA,90065,OW0018999,"KIDLOW, KRISTIN ROSE ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,LEMON POPPY KITHCEN,ACTIVE,PR0018022
DAEIY00IE,03/28/2016 12:00:00 AM,STARBUCKS EVENING,95,A,1,ROUTINE INSPECTION,EE0000122,600 WORLD WAY # 622,LOS ANGELES,FA0174355,CA,90045,OW0015634,HMS HOST INTERNATIONAL INC.,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS EVENING,ACTIVE,PR0167254
DAP2RZJV3,03/28/2016 12:00:00 AM,AATB-ALL ABOUT THE BREAD,85,B,1,ROUTINE INSPECTION,EE0000375,10250 SANTA MONICA BLVD STE FC5,LOS ANGELES,FA0177133,CA,90067,OW0183102,AATB LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,AATB-ALL ABOUT THE BRAD,INACTIVE,PR0170092
