,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DADOJ6VZ8,05/12/2016 12:00:00 AM,LA MORENA BAKERY,91,A,1,ROUTINE INSPECTION,EE0000740,2106 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0065230,CA,90033,OW0028276,"PEREZ, PAULA",RESTAURANT (0-30) SEATS HIGH RISK,1632,LA MORENA BAKERY,ACTIVE,PR0019922,['Bakeries'],False,34.0481964,-118.2112151,$,4.0,13,JBPCgEiERG1SbXVoHCUaTA
1,DAETSSYIJ,05/12/2016 12:00:00 AM,LA PARRILLA,90,A,1,ROUTINE INSPECTION,EE0000740,2126 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0033495,CA,90033,OW0031288,"SALAS, MARIA C",RESTAURANT (31-60) SEATS HIGH RISK,1635,LA PARRILLA,ACTIVE,PR0006264,['Mexican'],False,34.0479805,-118.21067,$$,3.0,294,D91sYHZCTasuHK5W9Vgi9Q
2,DAEPUURD1,05/12/2016 12:00:00 AM,PRESS BROTHERS JUICERY,98,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY 3 F-2,LOS ANGELES,FA0165005,CA,90013,OW0128296,PRESS BROTHERS JUICERY LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PRESSED BROTHERS JUICERY,ACTIVE,PR0153308,['Juice Bars & Smoothies'],False,34.0505788,-118.2486735,$$,4.0,166,-cvt3Je4hbpVKhJf1YcblQ
3,DAKZZITBB,05/12/2016 12:00:00 AM,THE ROGER ROOM,95,A,1,ROUTINE INSPECTION,EE0000951,370 N LA CIENEGA BLVD,LOS ANGELES,FA0051678,CA,90048,OW0001626,ABSINTAE BROS LLC,RESTAURANT (31-60) SEATS LOW RISK,1633,THE ROGER ROOM,ACTIVE,PR0011101,['Bars'],False,34.07795,-118.3764751,$$,4.0,485,-smEQ-GX_OIHP5vzkIrXQQ
4,DAXWMQNTX,05/12/2016 12:00:00 AM,EGG ROLL KING,91,A,1,ROUTINE INSPECTION,EE0000923,3111 N SAN FERNANDO RD,LOS ANGELES,FA0222859,CA,90065,OW0227641,EGG ROLL KING,RESTAURANT (0-30) SEATS HIGH RISK,1632,EGG ROLL KING,ACTIVE,PR0177901,['Chinese'],False,34.1151605,-118.2459383,$,3.5,43,lEy-BF6tkqwxhsM3BXVXhw
5,DA2FS5H0T,05/12/2016 12:00:00 AM,TRIMANA,94,A,1,ROUTINE INSPECTION,EE0000721,633 5TH ST,LOS ANGELES,FA0174979,CA,90071,OW0181588,633 ELYAD CORP.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TRIMANA,ACTIVE,PR0168063,"['American (Traditional)', 'Sandwiches']",False,34.05103,-118.25453,$$,3.0,17,wOipaUNwknfydMlIs1xGPw
6,DA0XOTX4I,05/12/2016 12:00:00 AM,SUBWAY SANDWICH,96,A,1,ROUTINE INSPECTION,EE0000043,8511 VENICE BLVD,LOS ANGELES,FA0050051,CA,90034,OW0034518,"SURI, SUMER",RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY SANDWICH,INACTIVE,PR0043503,"['Fast Food', 'Sandwiches']",False,34.0355270272323,-118.378155699642,$,2.5,21,hvIDf5fpHdf4GASTeuQPVQ
7,DA0571552,05/12/2016 12:00:00 AM,SUPER GALLITO,92,A,1,ROUTINE INSPECTION,EE0000366,3822 E OLYMPIC BLVD,LOS ANGELES,FA0203817,CA,90023,OW0208936,C & S MANAGEMENT,RESTAURANT (31-60) SEATS HIGH RISK,1635,SUPER GALLITO,ACTIVE,PR0176222,['Mexican'],False,34.0185503,-118.192465,$,3.5,119,n3IKF3Eb8TXZeElbJU67UA
8,DANH6LGOP,05/12/2016 12:00:00 AM,EL CHUBASCO,96,A,1,ROUTINE INSPECTION,EE0000360,1228 W SUNSET BLVD,LOS ANGELES,FA0163528,CA,90026,OW0127133,JOSE MARIA FIGUEROA VERGARA,RESTAURANT (31-60) SEATS LOW RISK,1633,EL CHUBASCO,ACTIVE,PR0151747,['Bars'],True,34.0691298991442,-118.250491172075,$,4.0,6,vzqDeao4ilS3xssIhyp0IA
9,DA8Z1SBPG,05/12/2016 12:00:00 AM,BERLIN CURRYWURST,95,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY ST #C1/2,LOS ANGELES,FA0149356,CA,90013,OW0004459,BERLIN CURRYWURST LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,BERLIN CURRYWURST,ACTIVE,PR0135466,['German'],False,34.0505788,-118.2486735,$,4.0,204,CEgXWVuffLS6yjq_O0seVg
