serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAHQZUF7H,9/23/2016 0:00,SABOR DE MI TIERRA,93,A,1,ROUTINE INSPECTION,EE0000366,1260 S SOTO ST #4,LOS ANGELES,FA0173639,CA,90023,OW0180397,VIDAL AGUILAR MARTINEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,SABOR DE MI TIERRA,ACTIVE,PR0166412
DAL2V6IWK,9/23/2016 0:00,KING'S DONUTS,92,A,1,ROUTINE INSPECTION,EE0000923,4417 EAGLE ROCK BLVD,LOS ANGELES,FA0158213,CA,90041-3212,OW0123303,SOK N SIV / LISA L SIV,RESTAURANT (0-30) SEATS MODERATE RISK,1631,KING'S DONUTS,ACTIVE,PR0146297
DAXZYNMKT,9/23/2016 0:00,WHICH WICH,90,A,1,ROUTINE INSPECTION,EE0000338,2212 SAWTELLE BLVD,LOS ANGELES,FA0175804,CA,90064,OW0182294,"RONCOR, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,WHICH WICH,ACTIVE,PR0169015
DA3CF07P3,9/23/2016 0:00,SICHA SIAM RESTAURANT,93,A,1,ROUTINE INSPECTION,EE0000923,4403 EAGLE ROCK BLVD,LOS ANGELES,FA0070464,CA,90041,OW0022228,"LORCHAROINSERI, SURACHAI",RESTAURANT (31-60) SEATS HIGH RISK,1635,SICHA SIAM RESTAURANT,ACTIVE,PR0030098
DAVUYT3OU,9/23/2016 0:00,EL NUEVO RENO NIGHT CLUB,97,A,1,ROUTINE INSPECTION,EE0000729,1439 W FLORENCE AVE,LOS ANGELES,FA0020958,CA,90047,OW0017938,JOSE LUIS IRUME LOPEZ,RESTAURANT (61-150) SEATS LOW RISK,1636,EL NUEVO RENO NIGHT CLUB,ACTIVE,PR0021823
DA2ZYIQV0,9/23/2016 0:00,THE PARK,93,A,1,ROUTINE INSPECTION,EE0000360,1400 W SUNSET BLVD,LOS ANGELES,FA0037539,CA,90026,OW0032810,"SIEGEL, JOSHUA M",RESTAURANT (31-60) SEATS HIGH RISK,1635,THE PARK,ACTIVE,PR0000880
DA6OC3MTX,9/23/2016 0:00,TACOS LA FONDA,96,A,1,ROUTINE INSPECTION,EE0000923,2135 1/2 N SAN FERNANDO RD,LOS ANGELES,FA0158667,CA,90065,OW0123719,KKJC CORPORATION,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS LA FONDA,ACTIVE,PR0146745
DAHUZOZNP,9/23/2016 0:00,ARMENIA RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000721,2529 S SAN PEDRO ST #B,LOS ANGELES,FA0040705,CA,90011,OW0100341,ARMENIA RESTAURANT INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,ARMENIA RESTAURANT,ACTIVE,PR0038526
DAP9E40W4,9/23/2016 0:00,MEATLAND BAKERY,92,A,1,ROUTINE INSPECTION,EE0000557,3801 E 1ST ST,LOS ANGELES,FA0024489,CA,90063,OW0006212,"CARMONA, SERGIO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,MEATLAND BAKERY,ACTIVE,PR0018519
DA0WAYIDC,9/23/2016 0:00,BAJA FRESH,95,A,1,ROUTINE INSPECTION,EE0000338,2210 SAWTELLE BLVD,LOS ANGELES,FA0004734,CA,90064,OW0012549,"G & D INVESTMENTS, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,BAJA FRESH,INACTIVE,PR0026577
DA4NECBKA,9/23/2016 0:00,LAS HADAS RESTAURANT,85,B,1,ROUTINE INSPECTION,EE0000729,1529 W FLORENCE AVE,LOS ANGELES,FA0034302,CA,90047,OW0008842,"CORTES, AUGUSTIN",RESTAURANT (61-150) SEATS HIGH RISK,1638,LAS HADAS RESTAURANT,ACTIVE,PR0004573
DAA4MUSKQ,9/23/2016 0:00,X BOUND,92,A,1,ROUTINE INSPECTION,EE0000531,3470 WILSHIRE BLVD STE #1,LOS ANGELES,FA0022837,CA,90010,OW0018648,KDK INVESTMENT CORPORATION,RESTAURANT (151 + ) SEATS HIGH RISK,1641,X BOUND,ACTIVE,PR0036265
DALCVASDS,9/23/2016 0:00,YOSHINOYA #1136,96,A,1,ROUTINE INSPECTION,EE0000740,701 S ATLANTIC BLVD,LOS ANGELES,FA0041766,CA,90022,OW0101581,"YOSHINOYA AMERICA, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,YOSHINOYA BEEF BOWL,INACTIVE,PR0026057
DAQX9GS5Q,9/23/2016 0:00,BASKIN ROBBINS #3105,96,A,1,ROUTINE INSPECTION,EE0000923,5802 N FIGUEROA ST,LOS ANGELES,FA0058068,CA,90042,OW0027831,"PARK, SE YUN",RESTAURANT (0-30) SEATS LOW RISK,1630,BASKIN ROBBINS #3105,ACTIVE,PR0037986
DAPXGZYCF,9/23/2016 0:00,MAYRA'S BAKERY,91,A,1,ROUTINE INSPECTION,EE0000721,2521 S SAN PEDRO ST # #E,LOS ANGELES,FA0038279,CA,90011,OW0021519,"LEMUS, ANA C.",RESTAURANT (0-30) SEATS HIGH RISK,1632,MAYRA'S BAKERY,ACTIVE,PR0026073
DAGHOWFBT,9/23/2016 0:00,HOMESTYLE DONUTS,93,A,1,ROUTINE INSPECTION,EE0000740,711 S ATLANTIC BLVD,LOS ANGELES,FA0017305,CA,90022,OW0028467,"PHO, STEVEN AND HELEN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,HOMESTYLE DONUTS,ACTIVE,PR0019059
DAV5FDW28,9/23/2016 0:00,BOBA - LOCA TEA COFFEE,96,A,1,ROUTINE INSPECTION,EE0000800,3617 S VERMONT AVE,LOS ANGELES,FA0058508,CA,90007,OW0018417,"KANG, YOUNG HEE",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BOBA - LOCA TEA COFFEE,INACTIVE,PR0017092
DA3VCTEHT,9/23/2016 0:00,CARL'S JR,95,A,1,ROUTINE INSPECTION,EE0000740,3215 N BROADWAY,LOS ANGELES,FA0013157,CA,90031,OW0032186,SENIOR CLASSIC LEASING LLC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,CARL'S JR,ACTIVE,PR0047638
