serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DA0VBDBFF,08/22/2017 12:00:00 AM,DOMINO'S PIZZA,92,A,1,ROUTINE INSPECTION,EE0000846,5065 HOLLYWOOD BLVD STE 101,LOS ANGELES,FA0060991,CA,90027,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA,ACTIVE,PR0010137
DAD957KLA,08/22/2017 12:00:00 AM,REJUVENATE CAFE,93,A,1,ROUTINE INSPECTION,EE0000846,4733 W SUNSET BLVD STE 233,LOS ANGELES,FA0177652,CA,90027,OW0183563,MORRISON MANAGEMENT SPECIALIST,RESTAURANT (151 + ) SEATS HIGH RISK,1641,REJUVENATE CAFE,ACTIVE,PR0170690
DA48HZSG3,08/22/2017 12:00:00 AM,RICK'S PRODUCE MARKET,96,A,1,ROUTINE INSPECTION,EE0000893,755 N VIRGIL AVE,LOS ANGELES,FA0249095,CA,90029,OW0243397,RICARDO G DOMINGUEZ & ALEJANDRO VERDUZCO,RESTAURANT (0-30) SEATS MODERATE RISK,1631,RICK'S PRODUCE MARKET,ACTIVE,PR0197804
DAH0UEKZ2,08/22/2017 12:00:00 AM,CUTIES CAFE,97,A,1,ROUTINE INSPECTION,EE0000893,710 N HELIOTROPE DR,LOS ANGELES,FA0249282,CA,90029,OW0243562,CUTIES CAFE LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,CUTIES CAFE,ACTIVE,PR0198009
DA66SEQFK,08/21/2017 12:00:00 AM,BURGER KING #5892,97,A,1,ROUTINE INSPECTION,EE0000997,3501 E WHITTIER BLVD,LOS ANGELES,FA0011351,CA,90023,OW0038416,"WANG, STEVE",RESTAURANT (61-150) SEATS MODERATE RISK,1637,BURGER KING #5892,ACTIVE,PR0047308
DAUL1NNPN,08/21/2017 12:00:00 AM,CHILI THAI,82,B,1,ROUTINE INSPECTION,EE0000338,10889 W PICO BLVD,LOS ANGELES,FA0059656,CA,90064,OW0035416,"THAWATCHAI, LUNGGARSIT ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,CHILI THAI,INACTIVE,PR0018721
DA86HDTQY,08/21/2017 12:00:00 AM,TARGET STORE #T2774,94,A,1,ROUTINE INSPECTION,EE0000911,10861 WEYBURN AVE,LOS ANGELES,FA0071919,CA,90024,OW0035036,TARGET CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS / TARGET T2774,ACTIVE,PR0002710
DAZ626UI8,08/21/2017 12:00:00 AM,ASIA KITCHEN,96,A,1,ROUTINE INSPECTION,EE0000144,11279 VENICE BLVD,LOS ANGELES,FA0178618,CA,90066,OW0184334,XIGE YANG,RESTAURANT (0-30) SEATS HIGH RISK,1632,ASIA KITCHEN,ACTIVE,PR0172086
DAKPDODAN,08/21/2017 12:00:00 AM,LA FITNESS JUICE BAR,94,A,1,ROUTINE INSPECTION,EE0000709,1628 N EL CENTRO AVE,LOS ANGELES,FA0138982,CA,90028,OW0102258,HOOLYWWOD SMOOTHIR INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA FITNESS JUICE BAR,ACTIVE,PR0123360
DAERBUXAM,08/21/2017 12:00:00 AM,THE JERK SPOT,90,A,1,ROUTINE INSPECTION,EE0000043,9006 VENICE BLVD,LOS ANGELES,FA0164392,CA,90232,OW0127742,COURTNEY WILLIAMS,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE JERK SPOT,ACTIVE,PR0152662
DAJX4R0X0,08/21/2017 12:00:00 AM,WABA GRILL,94,A,1,ROUTINE INSPECTION,EE0000997,2324 E WHITTIER BLVD STE 8,LOS ANGELES,FA0054579,CA,90023,OW0031359,SALT N PEPPER INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WABA GRILL,ACTIVE,PR0045897
DAGDFYOF6,08/21/2017 12:00:00 AM,BIRDIES,86,B,1,ROUTINE INSPECTION,EE0000721,314 W OLYMPIC BLVD,LOS ANGELES,FA0171790,CA,90015-1606,OW0178851,"MARBLES 314, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,BIRDIES,INACTIVE,PR0164245
DAABXEBCJ,08/21/2017 12:00:00 AM,HAMBURGER HABIT #2 WLA,97,A,1,ROUTINE INSPECTION,EE0000144,11223 NATIONAL BLVD,LOS ANGELES,FA0063162,CA,90025,OW0028383,"PEZESHKI,FARHAD",RESTAURANT (31-60) SEATS HIGH RISK,1635,HAMBURGER HABIT #2 WLA,ACTIVE,PR0022938
DAHFP2SBA,08/21/2017 12:00:00 AM,MI COCINTA CHAPINA RESTAURANTE,90,A,1,ROUTINE INSPECTION,EE0000721,1325 W VENICE BLVD,LOS ANGELES,FA0061335,CA,90006,OW0100768,"GURRIDO, RODOLFO",RESTAURANT (0-30) SEATS HIGH RISK,1632,MI COCINTA CHAPINA RESTAURANTE,ACTIVE,PR0005244
DAVT5FDSZ,08/21/2017 12:00:00 AM,CHICO'S MEXICAN RESTAURANT,92,A,1,ROUTINE INSPECTION,EE0000923,100 N AVENUE 50,LOS ANGELES,FA0174388,CA,90042,OW0181070,CHICO'S NETWORK INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,CHICO'S MEXICAN RESTAURANT,ACTIVE,PR0167287
DALFPOXPZ,08/21/2017 12:00:00 AM,JAMBA JUICE #399,96,A,1,ROUTINE INSPECTION,EE0000924,11074 SANTA MONICA BLVD,LOS ANGELES,FA0241438,CA,90025,OW0208261,BREA JUICE COMPANY LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,JAMBA JUICE #399,ACTIVE,PR0189550
DALRHWLOC,08/21/2017 12:00:00 AM,PAMORE PIZZA,93,A,1,ROUTINE INSPECTION,EE0000176,3340 S LA CIENEGA BLVD,LOS ANGELES,FA0042941,CA,90016,OW0018649,K-E PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PAMORE PIZZA,ACTIVE,PR0035736
DAWSONPK8,08/21/2017 12:00:00 AM,PIZZA CREK,94,A,1,ROUTINE INSPECTION,EE0000059,8823 W PICO BLVD,LOS ANGELES,FA0245889,CA,90035,OW0240860,HUMA ENTERPRISES,RESTAURANT (0-30) SEATS HIGH RISK,1632,PIZZA CREK,ACTIVE,PR0194272
DA6GF7AFS,08/21/2017 12:00:00 AM,THE ROOM SUSHI BAR,92,A,1,ROUTINE INSPECTION,EE0000059,8837 W PICO BLVD,LOS ANGELES,FA0222028,CA,90035,OW0226947,THE ROOM SUSHI BAR LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,THE ROOM SUSHI BAR,ACTIVE,PR0177019
DAY0VQW0M,08/21/2017 12:00:00 AM,LA ZOO,91,A,1,ROUTINE INSPECTION,EE0000697,5333 ZOO DR,LOS ANGELES,FA0023360,CA,90027,OW0032279,SERVICE AMERICA CORP,RESTAURANT (61-150) SEATS MODERATE RISK,1637,REGGIES CAFE,ACTIVE,PR0021240
DAF1M4YNH,08/21/2017 12:00:00 AM,POR VENIR,95,A,1,ROUTINE INSPECTION,EE0000721,3000 S MAPLE AVE,LOS ANGELES,FA0028941,CA,90011,OW0028878,"POSADAS, MARIA E",RESTAURANT (0-30) SEATS HIGH RISK,1632,POR VENIR,ACTIVE,PR0011141
DA3TFYE0Z,08/21/2017 12:00:00 AM,MCDONALD'S # 4989,85,B,1,ROUTINE INSPECTION,EE0000531,3454 WILSHIRE BLVD,LOS ANGELES,FA0039655,CA,90010,OW0023167,"MANGIONE, MICHEAL J",RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALD'S,ACTIVE,PR0038454
DA431ASQP,08/21/2017 12:00:00 AM,LA ZOO,96,A,1,ROUTINE INSPECTION,EE0000697,5333 ZOO DR,LOS ANGELES,FA0023360,CA,90027,OW0032279,SERVICE AMERICA CORP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CHURRO FACTORY,ACTIVE,PR0035265
DA8QSJP2Y,08/21/2017 12:00:00 AM,LAWRY'S CARVERY,77,C,1,ROUTINE INSPECTION,EE0000122,1011 S FIGUEROA ST,LOS ANGELES,FA0034545,CA,90015,OW0020917,LAWRY'S RESTAURANTS INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,LAWRY'S CARVERY,ACTIVE,PR0023763
DA20F2YDK,08/21/2017 12:00:00 AM,GREEN HOUSE,93,A,1,ROUTINE INSPECTION,EE0000468,6333 W 3RD ST,LOS ANGELES,FA0180815,CA,90036,OW0186159,"GREEN HOUSE MARKET , LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,GREEN HOUSE,ACTIVE,PR0174634
