,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,447,DAAKIPDCX,05/05/2016 12:00:00 AM,LITTLE CAESAR'S PIZZA #5831,92,A,1,ROUTINE INSPECTION,EE0000828,5800 SANTA MONICA BLVD,LOS ANGELES,FA0065811,CA,90038,OW0021931,"LITTLE CAESAR, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LITTLE CAESAR'S PIZZA #5831,ACTIVE,PR0029959,"['Pizza', 'Fast Food']",False,34.0905951,-118.3157682,$,2.5,35,ZlTHZKq5ndVtR96EL4qP7Q
1,448,DA05Z77QC,05/05/2016 12:00:00 AM,MAXIMILIANO,90,A,1,ROUTINE INSPECTION,EE0000923,5930 YORK BLVD,LOS ANGELES,FA0066595,CA,90042,OW0023813,MAXIMILIANO HP INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,MAXIMILIANO,ACTIVE,PR0023076,"['Italian', 'Pizza', 'Bars']",False,34.11799691302,-118.18990269659,$$,4.0,901,6t-XDNLItJF3N7EvoZRUdg
2,449,DA0AHJHFD,05/05/2016 12:00:00 AM,TOM'S JR BURGER,92,A,1,ROUTINE INSPECTION,EE0000740,1883 DALY ST,LOS ANGELES,FA0052242,CA,90031,OW0035184,"TEA, PATRICK",RESTAURANT (31-60) SEATS HIGH RISK,1635,TOM'S JR BURGER,INACTIVE,PR0025141,"['Fast Food', 'Burgers']",False,34.06561,-118.21568,$,3.5,33,-Yq_rjS2meCfr5TkFhU_KA
3,449,DA0AHJHFD,05/05/2016 12:00:00 AM,TOM'S JR BURGER,92,A,1,ROUTINE INSPECTION,EE0000740,1883 DALY ST,LOS ANGELES,FA0052242,CA,90031,OW0035184,"TEA, PATRICK",RESTAURANT (31-60) SEATS HIGH RISK,1635,TOM'S JR BURGER,INACTIVE,PR0025141,['Donuts'],False,34.06561,-118.21568,$,4.5,45,qQbWDjs-9OyEFw7atlMWXQ
4,464,DATLUDYHY,05/05/2016 12:00:00 AM,HONEY DONUT,91,A,1,ROUTINE INSPECTION,EE0000740,1883 DALY ST,LOS ANGELES,FA0203425,CA,90031,OW0208620,VONG NGET,RESTAURANT (0-30) SEATS LOW RISK,1630,HONEY DONUT,ACTIVE,PR0175777,"['Fast Food', 'Burgers']",False,34.06561,-118.21568,$,3.5,33,-Yq_rjS2meCfr5TkFhU_KA
5,464,DATLUDYHY,05/05/2016 12:00:00 AM,HONEY DONUT,91,A,1,ROUTINE INSPECTION,EE0000740,1883 DALY ST,LOS ANGELES,FA0203425,CA,90031,OW0208620,VONG NGET,RESTAURANT (0-30) SEATS LOW RISK,1630,HONEY DONUT,ACTIVE,PR0175777,['Donuts'],False,34.06561,-118.21568,$,4.5,45,qQbWDjs-9OyEFw7atlMWXQ
6,450,DAEPKNF63,05/05/2016 12:00:00 AM,FRANCOISA BAKERY,93,A,1,ROUTINE INSPECTION,EE0000740,1015 S WALL ST STE #117,LOS ANGELES,FA0062283,CA,90015,OW0003214,ASHLIAN INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,FRANCOISA BAKERY,ACTIVE,PR0042947,"['Bakeries', 'Sandwiches']",False,34.03735,-118.25383,$,4.0,8,wnuzfytT0YDZx1bTkTJyNA
7,451,DAWBOYVNJ,05/05/2016 12:00:00 AM,TRIBAL CAFE,90,A,1,ROUTINE INSPECTION,EE0000884,1651 W TEMPLE ST,LOS ANGELES,FA0072942,CA,90026,OW0017944,"JOSE, JOSUE SANTOS",RESTAURANT (31-60) SEATS MODERATE RISK,1634,TRIBAL CAFE,ACTIVE,PR0000839,"['Juice Bars & Smoothies', 'Delis']",False,34.06876,-118.26261,$,4.0,674,hCK62V2SW6nRoR0NK9E88g
8,452,DA0NKK1IM,05/05/2016 12:00:00 AM,YUPDDUK,90,A,1,ROUTINE INSPECTION,EE0000884,3132 W OLYMPIC BLVD,LOS ANGELES,FA0222781,CA,90006,OW0227572,YUPDDUKUSA INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,YUPDDUK,ACTIVE,PR0177819,['Korean'],False,34.05239,-118.30447,$$,4.0,214,OfuhjR6aLK51FH0QMSsC0w
9,453,DAVZBTRXE,05/05/2016 12:00:00 AM,ARSENAL BAR,91,A,1,ROUTINE INSPECTION,EE0000629,12012 PICO BLVD,LOS ANGELES,FA0165743,CA,90064,OW0128982,YELLOW ROSE ASSOCIATES,RESTAURANT (61-150) SEATS HIGH RISK,1638,ARSENAL BAR,ACTIVE,PR0154077,"['Lounges', 'American (Traditional)', 'Cocktail Bars']",False,34.0295863,-118.4495683,$$,4.0,707,0giDcyNWX-cYW9dsJc43uQ
10,455,DAZFES79T,05/05/2016 12:00:00 AM,OLYMPIC BASKET,90,A,1,ROUTINE INSPECTION,EE0001049,5138 E OLYMPIC BLVD,LOS ANGELES,FA0042502,CA,90022,OW0031796,"SARABIA, GUADALUPE",RESTAURANT (31-60) SEATS HIGH RISK,1635,OLYMPIC BASKET,ACTIVE,PR0042893,['Mexican'],True,34.01626,-118.15982,$,3.5,10,0CpQWIbihyuRPpctOa4lhQ
11,456,DABMJNJY4,05/05/2016 12:00:00 AM,OMNI HOTEL GRAND CAFE,98,A,1,ROUTINE INSPECTION,EE0000721,251 S OLIVE ST,LOS ANGELES,FA0027045,CA,90012,OW0026775,OMNI HOTEL MANAGEMENT CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,OMNI HOTEL GRAND CAFE,ACTIVE,PR0024233,['Hotels'],False,34.052563,-118.25056,$$$,4.0,593,u6wFTRE9RUY_LGNnIDbrzQ
12,456,DABMJNJY4,05/05/2016 12:00:00 AM,OMNI HOTEL GRAND CAFE,98,A,1,ROUTINE INSPECTION,EE0000721,251 S OLIVE ST,LOS ANGELES,FA0027045,CA,90012,OW0026775,OMNI HOTEL MANAGEMENT CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,OMNI HOTEL GRAND CAFE,ACTIVE,PR0024233,"['Bars', 'French', 'Music Venues']",False,34.05256144001,-118.250604543655,$$$,4.0,410,vsVGA4-vCEHCBi6RUK_WFA
13,458,DASBSESKO,05/05/2016 12:00:00 AM,NOE RESTAURANT,99,A,1,ROUTINE INSPECTION,EE0000721,251 S OLIVE ST,LOS ANGELES,FA0067637,CA,90012,OW0026775,OMNI HOTEL MANAGEMENT CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,NOE RESTAURANT,ACTIVE,PR0012981,['Hotels'],False,34.052563,-118.25056,$$$,4.0,593,u6wFTRE9RUY_LGNnIDbrzQ
14,458,DASBSESKO,05/05/2016 12:00:00 AM,NOE RESTAURANT,99,A,1,ROUTINE INSPECTION,EE0000721,251 S OLIVE ST,LOS ANGELES,FA0067637,CA,90012,OW0026775,OMNI HOTEL MANAGEMENT CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,NOE RESTAURANT,ACTIVE,PR0012981,"['Bars', 'French', 'Music Venues']",False,34.05256144001,-118.250604543655,$$$,4.0,410,vsVGA4-vCEHCBi6RUK_WFA
