,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAUAAXSHZ,08/04/2015 12:00:00 AM,CHIPOTLE MEXICAN GRILL,92,A,1,ROUTINE INSPECTION,EE0000727,11690 W SAN VICENTE BLVD,LOS ANGELES,FA0059741,CA,90049,OW0007608,"CHIPOTLE MEXICAN GRILL, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,CHIPOTLE MEXICAN GRILL,ACTIVE,PR0000005,"['Mexican', 'Fast Food']",False,34.0535591203054,-118.464960456228,$,3.0,152,KeOugU2XgjPIdSi9M0-qdA
1,DAR0V1YAO,08/04/2015 12:00:00 AM,NEW'S DONUTS,90,A,1,ROUTINE INSPECTION,EE0000854,3339 W PICO BLVD,LOS ANGELES,FA0026297,CA,90019,OW0019711,"KIV, VANDE",RESTAURANT (0-30) SEATS HIGH RISK,1632,NEW'S DONUTS,INACTIVE,PR0039092,"['Chinese', 'Donuts', 'Ice Cream & Frozen Yogurt']",False,34.0473049,-118.3170298,$,4.5,19,w-nw3d7d7J98jzFegUI3bg
2,DAMFR3GVK,08/04/2015 12:00:00 AM,GYU KAKU,90,A,1,ROUTINE INSPECTION,EE0000338,10925 W PICO BLVD,LOS ANGELES,FA0137330,CA,90064,OW0029925,"REINS INTERNATIONAL CA, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,GYU KAKU,ACTIVE,PR0121319,"['Japanese', 'Barbeque']",False,34.0394075,-118.4303465,$$,3.5,949,_yyj7uB8ykzvPetX4oaHIg
3,DAJLMTYUR,08/04/2015 12:00:00 AM,LA PAELLA,97,A,1,ROUTINE INSPECTION,EE0000659,476 S SAN VICENTE BLVD,LOS ANGELES,FA0034683,CA,90048,OW0012303,"FRANQUEZ, PASCUAL",RESTAURANT (31-60) SEATS HIGH RISK,1635,LA PAELLA,INACTIVE,PR0047002,"['Spanish', 'Tapas Bars', 'Wine Bars']",False,34.06941,-118.3748,$$$,4.0,570,hqR-2X38R1Xl-8Jh_G3WNQ
4,DA2BXYN49,08/04/2015 12:00:00 AM,GAZEN,94,A,1,ROUTINE INSPECTION,EE0000893,362 E 1ST ST,LOS ANGELES,FA0175152,CA,90012,OW0181744,EKC INTERNATIONAL L.A. INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,GAZEN,ACTIVE,PR0168264,"['Sushi Bars', 'Teppanyaki', 'Izakaya']",False,34.0491747,-118.2394231,$$,4.0,243,ywH0noW7QvSK5pE7W4QgJg
5,DATF2TLHP,08/04/2015 12:00:00 AM,ITS BOBA TIME,93,A,1,ROUTINE INSPECTION,EE0000162,2255 COLORADO BLVD,LOS ANGELES,FA0164789,CA,90041,OW0128104,SOCIAL TREAT INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,ITS BOBA TIME,ACTIVE,PR0153077,"['Bubble Tea', 'Coffee & Tea', 'Shaved Ice']",False,34.1396065624006,-118.215421585877,$,4.0,219,59ltbBsdFoOfb7y6Zgk9Pg
6,DAO4KWNCA,08/04/2015 12:00:00 AM,YEYA'S,91,A,1,ROUTINE INSPECTION,EE0000740,1816 E 1ST ST,LOS ANGELES,FA0055279,CA,90033,OW0013566,GOMEZ ERICA,RESTAURANT (0-30) SEATS HIGH RISK,1632,YEYA'S,ACTIVE,PR0004594,['Mexican'],False,34.0470844105938,-118.219201475054,$,4.5,79,5LtA8XdCN-pP7QRcJeFSHg
7,DAJRPV1NE,08/04/2015 12:00:00 AM,GO CHEW GRILL,95,A,1,ROUTINE INSPECTION,EE0000707,3670 BROADWAY PL,LOS ANGELES,FA0169915,CA,90007-4406,OW0132882,SUE JENOG CHOI,RESTAURANT (0-30) SEATS HIGH RISK,1632,GO CHEW GRILL,INACTIVE,PR0160340,['Korean'],True,34.0160497,-118.2740992,$,5.0,16,nugYV0CbRznJWMIH_ANtmQ
8,DAGEFODRQ,08/04/2015 12:00:00 AM,TEDDY'S CAFE,92,A,1,ROUTINE INSPECTION,EE0000629,12043 W PICO BLVD,LOS ANGELES,FA0071994,CA,90064,OW0009696,"DELGADO, TEODORO GONZALEZ",RESTAURANT (61-150) SEATS HIGH RISK,1638,TEDDY'S CAFE,ACTIVE,PR0013758,"['Diners', 'American (Traditional)']",False,34.0297470092773,-118.450149536133,$,4.0,266,c8_qeSeaWuN7gq8ILUM-vw
9,DAR6I9EDC,08/04/2015 12:00:00 AM,CNBC,100,A,1,ROUTINE INSPECTION,EE0000633,200 WORLD WAY # 228,LOS ANGELES,FA0172406,CA,90045,OW0130532,"PARADIES LOS ANGELES II, LLC",RESTAURANT (0-30) SEATS LOW RISK,1630,CNBC,ACTIVE,PR0164961,"['Bookstores', 'Convenience Stores']",False,33.9461936673683,-118.403716753881,$$,3.5,2,zx6fwfV8-puHFNq8Zn72Ig
