,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAPP9WS5W,03/17/2017 12:00:00 AM,KIKKA SUSHI - WHOLE FOODS,90,A,1,ROUTINE INSPECTION,EE0001014,12746 W JEFFERSON BLVD,LOS ANGELES,FA0174882,CA,90066-7032,OW0017151,"ITO, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,KIKKA SUSHI - WHOLE FOODS,ACTIVE,PR0167947,"['Grocery', 'Health Markets', 'Organic Stores']",False,33.9775596765943,-118.417439783882,$$,3.5,258,r2_6n0mMMNuQHrAmFA9jag
1,DAPP9WS5W,03/17/2017 12:00:00 AM,KIKKA SUSHI - WHOLE FOODS,90,A,1,ROUTINE INSPECTION,EE0001014,12746 W JEFFERSON BLVD,LOS ANGELES,FA0174882,CA,90066-7032,OW0017151,"ITO, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,KIKKA SUSHI - WHOLE FOODS,ACTIVE,PR0167947,"['Grocery', 'Health Markets', 'Organic Stores']",False,33.9775596765943,-118.417439783882,$$,3.5,258,r2_6n0mMMNuQHrAmFA9jag
2,DA3EBPALV,02/09/2017 12:00:00 AM,WHOLE FOODS MARKET,98,A,1,ROUTINE INSPECTION,EE0001014,12746 W JEFFERSON BLVD,LOS ANGELES,FA0174881,CA,90066-7032,OW0038850,"WHOLE FOODS MARKET, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,WHOLE FOOD MARKETS- -BAKERY,ACTIVE,PR0167943,"['Grocery', 'Health Markets', 'Organic Stores']",False,33.9775596765943,-118.417439783882,$$,3.5,258,r2_6n0mMMNuQHrAmFA9jag
3,DA3EBPALV,02/09/2017 12:00:00 AM,WHOLE FOODS MARKET,98,A,1,ROUTINE INSPECTION,EE0001014,12746 W JEFFERSON BLVD,LOS ANGELES,FA0174881,CA,90066-7032,OW0038850,"WHOLE FOODS MARKET, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,WHOLE FOOD MARKETS- -BAKERY,ACTIVE,PR0167943,"['Grocery', 'Health Markets', 'Organic Stores']",False,33.9775596765943,-118.417439783882,$$,3.5,258,r2_6n0mMMNuQHrAmFA9jag
4,DAT0C2K6G,03/17/2017 12:00:00 AM,WANDERLUST CREAMERY,97,A,1,ROUTINE INSPECTION,EE0000523,3134 GLENDALE BLVD,LOS ANGELES,FA0243048,CA,90039,OW0182802,WANDERLUST CREAMERY LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WANDERLUST CREAMERY,ACTIVE,PR0191272,"['Desserts', 'Ice Cream & Frozen Yogurt']",False,34.1166106,-118.2619737,$$,4.5,597,iO0omKwI1mLl9q0tzTA03A
5,DAUAZYJNN,03/17/2017 12:00:00 AM,TBLA CATERING & CAFE,93,A,1,ROUTINE INSPECTION,EE0000366,765 S SANTEE ST,LOS ANGELES,FA0143633,CA,90014,OW0106696,TBLA INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,"TBLA, INC.",ACTIVE,PR0129560,"['American (New)', 'Salad', 'Wraps']",False,34.04184,-118.25141,$$,4.5,179,Ff0tTFNnkJsOooPs7sutww
6,DABWBMXYZ,03/17/2017 12:00:00 AM,TOM'S JR BURGERS,91,A,1,ROUTINE INSPECTION,EE0000799,1500 E SLAUSON AVE,LOS ANGELES,FA0072731,CA,90011,OW0028779,"POLITIS, SPIROS",RESTAURANT (31-60) SEATS HIGH RISK,1635,TOM'S JR BURGERS,INACTIVE,PR0023144,"['Burgers', 'Fast Food']",False,33.98906,-118.24754,$,3.0,45,eY63E5AIZj7HV5cPM8G5ng
7,DA21IUFZQ,03/17/2017 12:00:00 AM,BRASIL KISS COFFEE BAR,94,A,1,ROUTINE INSPECTION,EE0000721,1010 WILSHIRE BLVD #111,LOS ANGELES,FA0170630,CA,90017,OW0178152,LUCIANO DOS SANTOS,RESTAURANT (0-30) SEATS MODERATE RISK,1631,BRASIL KISS COFFEE BAR,ACTIVE,PR0160807,"['Coffee & Tea', 'Brazilian', 'Breakfast & Brunch']",False,34.0519690715975,-118.262663157451,$,4.0,193,ABr1g2u9p-H-coNgwpHkUg
8,DAQCBSNAR,03/17/2017 12:00:00 AM,SUSHI NABEEYA,93,A,1,ROUTINE INSPECTION,EE0000366,766 SANTEE ST,LOS ANGELES,FA0242534,CA,90014-2206,OW0238138,NOLEY LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,SUSHI NABEEYA,ACTIVE,PR0190717,"['Sushi Bars', 'Japanese']",False,34.041565,-118.251176202377,$$,4.5,292,vobM2Ootv9omVWblCWirDw
9,DAURDEBJO,03/17/2017 12:00:00 AM,HONEYMEE,90,A,1,ROUTINE INSPECTION,EE0000338,11301 W OLYMPIC BLVD # 104,LOS ANGELES,FA0175380,CA,90064,OW0123816,"UBUNTU DEVELOPMENT, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,HONEYMEE,ACTIVE,PR0168520,['Ice Cream & Frozen Yogurt'],False,34.0386275971938,-118.44188314418,$,4.0,689,a7IPQrrkC26RW8Z00wGhxw
