,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,615,DAXYYDDY7,05/03/2016 12:00:00 AM,MAPO RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000699,3611 S 6TH ST,LOS ANGELES,FA0038474,CA,90020,OW0021290,"LEE, KYOUNG SUN",RESTAURANT (31-60) SEATS HIGH RISK,1635,MAPO RESTAURANT,ACTIVE,PR0041247,"['Korean', 'Comfort Food', 'Soup']",False,34.0636387467384,-118.300722241402,$$,4.0,258,EQ4Slz2LL8WdcbDT1ng1zQ
1,616,DAFJQNJ2T,05/03/2016 12:00:00 AM,FAT SAL'S,90,A,1,ROUTINE INSPECTION,EE0000911,972 GAYLEY AVE,LOS ANGELES,FA0022718,CA,90024,OW0035574,"THE GAYLEY GROUP, LP",RESTAURANT (0-30) SEATS HIGH RISK,1632,FAT SAL'S,ACTIVE,PR0047310,"['Delis', 'American (New)', 'Burgers']",False,34.0625164548532,-118.448010678225,$$,4.0,1064,txH67ORSC9m_3F_ZVqoXwg
2,617,DAWL55WKF,05/03/2016 12:00:00 AM,ZWEET CAFE,95,A,1,ROUTINE INSPECTION,EE0000746,4682 EAGLE ROCK BLVD,LOS ANGELES,FA0177854,CA,90041,OW0183748,ZWEET CAFE INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,ZWEET CAFE,ACTIVE,PR0170925,"['Coffee & Tea', 'Cafes', 'Breakfast & Brunch']",False,34.12974,-118.21645,$,4.5,355,9yB5H8MwuQ3MBMlq5EOoFw
3,619,DAKWTS904,05/03/2016 12:00:00 AM,GUS'S DRIVE-IN,93,A,1,ROUTINE INSPECTION,EE0000723,1657 W 3RD ST,LOS ANGELES,FA0027218,CA,90017,OW0020507,LA VANTZAS,RESTAURANT (31-60) SEATS HIGH RISK,1635,GUS'S DRIVE-IN,ACTIVE,PR0046346,"['American (Traditional)', 'Mediterranean', 'Greek']",False,34.06081,-118.26734,$,3.5,325,J5VIIA_KdB33zQR8vgo5MA
4,620,DA6AVFSGX,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,STAND C,INACTIVE,PR0151554,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
5,620,DA6AVFSGX,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,STAND C,INACTIVE,PR0151554,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
6,622,DAZUNVIFH,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,STAND B LACC,INACTIVE,PR0144173,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
7,622,DAZUNVIFH,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,STAND B LACC,INACTIVE,PR0144173,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
8,658,DAM6Q0IQT,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (151 + ) SEATS MODERATE RISK,1640,LA CONVENTION CENTER TRADEWINDS CAFE,ACTIVE,PR0144171,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
9,658,DAM6Q0IQT,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (151 + ) SEATS MODERATE RISK,1640,LA CONVENTION CENTER TRADEWINDS CAFE,ACTIVE,PR0144171,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
10,662,DA5FIY0TX,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA CONVENTION CENTER STAND 6,ACTIVE,PR0144172,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
11,662,DA5FIY0TX,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,97,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA CONVENTION CENTER STAND 6,ACTIVE,PR0144172,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
12,667,DA2ZVKE7G,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,100,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA CONVENTION CENTER STAND D - COMMISSARY FOR MSU,ACTIVE,PR0151551,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
13,667,DA2ZVKE7G,05/03/2016 12:00:00 AM,LA CONVENTION CENTER,100,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA CONVENTION CENTER STAND D - COMMISSARY FOR MSU,ACTIVE,PR0151551,"['Venues & Event Spaces', 'Party & Event Planning']",False,34.040329,-118.269562,blank,3.5,334,wFxDli2tlPCRbPU42S-o1g
