,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAKG00TSQ,07/20/2015 12:00:00 AM,HONEYMEE,93,A,1,ROUTINE INSPECTION,EE0000699,3377 WILSHIRE BLVD 116,LOS ANGELES,FA0158767,CA,90010,OW0123816,"UBUNTU DEVELOPMENT, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,HONEYMEE,ACTIVE,PR0146848,"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Waffles']",False,34.0622027228182,-118.297568791402,$,4.0,1045,68r-UE-Dd9jCx0JWaJgC5g
1,DAEBCA0RE,07/20/2015 12:00:00 AM,KURA JAPANESE CUISINE,92,A,1,ROUTINE INSPECTION,EE0000838,8162 W SUNSET BLVD,LOS ANGELES,FA0033644,CA,90046,OW0033493,"SON, IK K.",RESTAURANT (31-60) SEATS HIGH RISK,1635,KURA JAPANESE CUISINE,ACTIVE,PR0028396,"['Japanese', 'Sushi Bars']",False,34.0973286,-118.36667,$$,4.0,280,QDyaFDyOZd2TbY5tIezjnA
2,DAEBCA0RE,07/20/2015 12:00:00 AM,KURA JAPANESE CUISINE,92,A,1,ROUTINE INSPECTION,EE0000838,8162 W SUNSET BLVD,LOS ANGELES,FA0033644,CA,90046,OW0033493,"SON, IK K.",RESTAURANT (31-60) SEATS HIGH RISK,1635,KURA JAPANESE CUISINE,ACTIVE,PR0028396,"['Japanese', 'Sushi Bars']",False,34.0973286,-118.36667,$$,4.0,280,QDyaFDyOZd2TbY5tIezjnA
3,DAYJJHNWJ,11/18/2015 12:00:00 AM,KURA JAPANESE CUISINE,92,A,1,ROUTINE INSPECTION,EE0000838,8162 W SUNSET BLVD,LOS ANGELES,FA0033644,CA,90046,OW0033493,"SON, IK K.",RESTAURANT (31-60) SEATS HIGH RISK,1635,KURA JAPANESE CUISINE,ACTIVE,PR0028396,"['Japanese', 'Sushi Bars']",False,34.0973286,-118.36667,$$,4.0,280,QDyaFDyOZd2TbY5tIezjnA
4,DAYJJHNWJ,11/18/2015 12:00:00 AM,KURA JAPANESE CUISINE,92,A,1,ROUTINE INSPECTION,EE0000838,8162 W SUNSET BLVD,LOS ANGELES,FA0033644,CA,90046,OW0033493,"SON, IK K.",RESTAURANT (31-60) SEATS HIGH RISK,1635,KURA JAPANESE CUISINE,ACTIVE,PR0028396,"['Japanese', 'Sushi Bars']",False,34.0973286,-118.36667,$$,4.0,280,QDyaFDyOZd2TbY5tIezjnA
5,DAT3YETFG,07/20/2015 12:00:00 AM,EL GALLO GIRO,90,A,1,ROUTINE INSPECTION,EE0000707,701 E JEFFERSON BLVD,LOS ANGELES,FA0020742,CA,90011,OW0010842,EL GALLO GIRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL GALLO GIRO,ACTIVE,PR0021399,['Mexican'],False,34.0153899,-118.26451,$,3.0,15,CyUfjTpoIgNghGlqfz9aEw
6,DAT3YETFG,07/20/2015 12:00:00 AM,EL GALLO GIRO,90,A,1,ROUTINE INSPECTION,EE0000707,701 E JEFFERSON BLVD,LOS ANGELES,FA0020742,CA,90011,OW0010842,EL GALLO GIRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL GALLO GIRO,ACTIVE,PR0021399,['Mexican'],False,34.0153899,-118.26451,$,3.0,15,CyUfjTpoIgNghGlqfz9aEw
7,DA03STEHU,12/01/2015 12:00:00 AM,EL GALLO GIRO,95,A,1,ROUTINE INSPECTION,EE0000707,701 E JEFFERSON BLVD,LOS ANGELES,FA0020742,CA,90011,OW0010842,EL GALLO GIRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL GALLO GIRO,ACTIVE,PR0021399,['Mexican'],False,34.0153899,-118.26451,$,3.0,15,CyUfjTpoIgNghGlqfz9aEw
8,DA03STEHU,12/01/2015 12:00:00 AM,EL GALLO GIRO,95,A,1,ROUTINE INSPECTION,EE0000707,701 E JEFFERSON BLVD,LOS ANGELES,FA0020742,CA,90011,OW0010842,EL GALLO GIRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL GALLO GIRO,ACTIVE,PR0021399,['Mexican'],False,34.0153899,-118.26451,$,3.0,15,CyUfjTpoIgNghGlqfz9aEw
9,DAWZ5J70T,07/20/2015 12:00:00 AM,WINCHELL'S DONUT #9339,87,B,1,ROUTINE INSPECTION,EE0000912,716 N WESTERN AVE,LOS ANGELES,FA0074073,CA,90029,OW0040037,YUM YUM DONUT SHOPS INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WINCHELL'S DONUT #9339,ACTIVE,PR0010002,"['Donuts', 'Coffee & Tea', 'Sandwiches']",False,34.08418,-118.30883,$,3.5,21,_C7rGNOwB34hZVxTPqtEBQ
