serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAW3SZNBS,06/26/2017 12:00:00 AM,KITCHEN 24,86,B,1,ROUTINE INSPECTION,EE0000709,1608 N CAHUENGA BLVD,LOS ANGELES,FA0032525,CA,90028,OW0019704,"KITCHEN 24, LLC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,KITCHEN 24,ACTIVE,PR0018889
DA4OPBWFQ,06/26/2017 12:00:00 AM,DOC POPCORN,97,A,1,ROUTINE INSPECTION,EE0000905,3650 MARTIN LUTHER KING JR BLVD # 450,LOS ANGELES,FA0177094,CA,90008,OW0183068,"NG CREATIVE DEVELOP, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOC POPCORN,ACTIVE,PR0170046
DAKXUQLRL,06/26/2017 12:00:00 AM,LOUISIANA FRIED CHICKEN & FI,89,B,1,ROUTINE INSPECTION,EE0000176,4501 W MLK BLVD STE #F,LOS ANGELES,FA0022904,CA,90016,OW0014011,"GREAT CHONS, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,LOUISIANA FRIED CHICKEN & FI,ACTIVE,PR0025594
DAWZIVPDM,06/26/2017 12:00:00 AM,BREWWELL COFFEE,96,A,1,ROUTINE INSPECTION,EE0000822,6515 SUNSET BLVD,LOS ANGELES,FA0224500,CA,90028-7251,OW0228968,"BREWWELL, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BREWWELL COFFEE,ACTIVE,PR0179724
DAHQ6YK97,06/26/2017 12:00:00 AM,THE DARKROOM KITCHEN,92,A,1,ROUTINE INSPECTION,EE0000951,7302 MELROSE AVE,LOS ANGELES,FA0072217,CA,90046,OW0032301,SEVEN MELROSE LLC,RESTAURANT (31-60) SEATS LOW RISK,1633,THE DARKROOM,ACTIVE,PR0009402
DAN0CTZJH,06/26/2017 12:00:00 AM,GREEN HOUSE,93,A,1,ROUTINE INSPECTION,EE0000740,1100 S SAN PEDRO ST # N1,LOS ANGELES,FA0026662,CA,90015,OW0019245,"KIM, EUN H",RESTAURANT (0-30) SEATS MODERATE RISK,1631,GREEN HOUSE,ACTIVE,PR0034617
DA0882439,06/26/2017 12:00:00 AM,MANDARIN KITCHEN,94,A,1,ROUTINE INSPECTION,EE0000924,1822 WESTWOOD BLVD,LOS ANGELES,FA0240840,CA,90025,OW0236863,NEW MANDARIN KITCHEN,RESTAURANT (0-30) SEATS HIGH RISK,1632,MANDARIN KITCHEN,ACTIVE,PR0188895
DAR8BTCWK,06/26/2017 12:00:00 AM,THE WAFFLE,98,A,1,ROUTINE INSPECTION,EE0000709,6255 W SUNSET BLVD STE #105,LOS ANGELES,FA0051830,CA,90028,OW0035796,"THE WAFFLE, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE WAFFLE,ACTIVE,PR0010922
DAK0UVBLI,06/26/2017 12:00:00 AM,KASANDRA'S PUPUSERIA,75,C,1,ROUTINE INSPECTION,EE0001025,5736 S BROADWAY,LOS ANGELES,FA0064666,CA,90037,OW0009770,"DENOCHEZ, BLANCA ZUNIGA",RESTAURANT (0-30) SEATS HIGH RISK,1632,KASANDRA'S PUPUSERIA,ACTIVE,PR0006212
DAMX78HSX,06/26/2017 12:00:00 AM,MH ZH,93,A,1,ROUTINE INSPECTION,EE0000904,3536 W SUNSET BLVD,LOS ANGELES,FA0248271,CA,90026,OW0242727,STERLING + OAK INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,MH ZH,ACTIVE,PR0196923
