,facility_id,latitude,longitude,rating,score,clean_zip
0,FA0025994,34.0762619,-118.3570798,3.5,91,90036
1,FA0025994,34.0762619,-118.3570798,3.5,91,90036
2,FA0025994,34.0762619,-118.3570798,3.5,81,90036
3,FA0025994,34.0762619,-118.3570798,3.5,81,90036
4,FA0055785,34.011318200000005,-118.13064579999998,3.5,92,90022
5,FA0175744,34.05745,-118.28575,4.5,92,90005
6,FA0069632,34.07181,-118.3655,4.0,90,90048
7,FA0044779,34.091332743807996,-118.290326537897,1.5,92,90029
8,FA0137756,34.05287,-118.46695,4.0,95,90049
9,FA0017697,34.097998100000005,-118.3642362,3.5,91,90046
10,FA0025188,34.0578011470348,-118.41931247182801,3.5,92,90067
11,FA0149307,34.0573807,-118.3645172,4.0,91,90019
12,FA0052067,34.0957165722728,-118.284453105274,4.0,90,90029
13,FA0163983,34.0331164,-118.1515909,3.0,94,90022
14,FA0012774,34.028621673584,-118.25075531005899,4.0,90,90021
15,FA0009634,34.0344734191895,-118.215194702148,4.5,97,90023
16,FA0065982,34.066320000000005,-118.20844,4.5,92,90031
17,FA0141725,34.08961,-118.335,5.0,97,90038
18,FA0142968,34.025856,-118.360862,3.5,97,90016
19,FA0159511,34.0564034879208,-118.29168990254401,4.0,85,90005
20,FA0042524,34.0433971,-118.3199999,3.0,92,90019
21,FA0027785,34.1053549,-118.3246985,4.5,94,90028
22,FA0051108,34.046215000000004,-118.448895,3.5,90,90025
23,FA0163738,34.038944,-118.43029,3.0,90,90064
24,FA0038046,34.078455264099105,-118.215173872232,4.5,95,90031
25,FA0062294,34.0703804790974,-118.36145952343901,4.0,93,90036
26,FA0045458,34.0736651,-118.2043318,4.5,96,90031
27,FA0158278,34.024769899999995,-118.2597,4.0,92,90011
28,FA0065325,34.05287,-118.46695,3.0,98,90049
29,FA0050198,34.022339,-118.29145,2.5,97,90007
30,FA0066946,33.9880055506272,-118.362671546638,4.5,95,90056
31,FA0028370,34.0636749,-118.3063757,3.5,91,90020
32,FA0026079,33.996905299999995,-118.432832,4.0,97,90066
33,FA0066645,33.9025133335327,-118.253969619982,1.5,98,90059
34,FA0171875,34.02394,-118.15584,4.0,90,90022
35,FA0010941,34.0576099,-118.36165,4.5,96,90036
36,FA0144491,34.0916686,-118.3224004,5.0,95,90038
37,FA0069070,34.05325,-118.20332,3.0,94,90033
38,FA0044265,34.07027,-118.36171000000002,3.5,91,90036
39,FA0041599,34.0639032,-118.3061281,4.0,97,90020
40,FA0038005,34.0222636,-118.2916749,3.0,94,90007
41,FA0047730,34.06409,-118.28663,4.0,90,90020
42,FA0055395,34.061820000000004,-118.23735,3.5,87,90012
43,FA0049327,34.077873,-118.376983,2.0,99,90048
44,FA0172285,34.03136,-118.20822,4.0,91,90023
45,FA0014279,34.074090000000005,-118.20742,4.0,90,90031
46,FA0027096,34.063405100000004,-118.3062675,3.5,90,90020
47,FA0058142,34.077309586957696,-118.46881928291599,4.0,99,90049
48,FA0058142,34.077309586957696,-118.46881928291599,4.0,99,90049
49,FA0058142,34.077309586957696,-118.46881928291599,4.0,90,90049
50,FA0058142,34.077309586957696,-118.46881928291599,4.0,90,90049
51,FA0064993,34.095634000000004,-118.292729,4.0,90,90029
52,FA0040297,33.97452,-118.25672,3.5,95,90001
53,FA0012756,33.97441,-118.26905,3.5,94,90003
54,FA0137785,34.0627289,-118.3094635,3.5,97,90010
55,FA0034798,34.0601856826038,-118.28456259799201,4.0,93,90005
56,FA0137949,34.0977950874632,-118.351559154529,3.5,90,90046
57,FA0020151,34.107629,-118.265871,3.5,100,90039
